@T,table,,,
Created,7/20/17 10:01,,,
Author,HortonMachine library,,,
@H,timestamp,value_42,,
ID,,42,,
Type,Date,Double,,
Format,yyyy-MM-dd HH:mm,,,
,1994-12-18 00:00,5.63E-05,0,0
,1994-12-19 00:00,2.07E-05,0,0
,1994-12-20 00:00,7.62E-06,0,0
,1994-12-21 00:00,2.80E-06,0,0
,1994-12-22 00:00,1.03E-06,0,0
,1994-12-23 00:00,3.79E-07,0,0
,1994-12-24 00:00,1.40E-07,0,0
,1994-12-25 00:00,5.14E-08,0,0
,1994-12-26 00:00,1.89E-08,0,0
,1994-12-27 00:00,6.95E-09,0,0
,1994-12-28 00:00,2.56E-09,0,0
,1994-12-29 00:00,9.41E-10,0,0
,1994-12-30 00:00,3.46E-10,0,0
,1994-12-31 00:00,1.27E-10,0,0
,1995-01-01 00:00,4.68E-11,0,0
,1995-01-02 00:00,1.69E-11,0,0
,1995-01-03 00:00,6.06E-12,0,0
,1995-01-04 00:00,2.16E-12,0,0
,1995-01-05 00:00,7.65E-13,0,0
,1995-01-06 00:00,2.69E-13,0,0
,1995-01-07 00:00,9.43E-14,0,0
,1995-01-08 00:00,3.29E-14,0,0
,1995-01-09 00:00,1.05E-14,0,0
,1995-01-10 00:00,3.34E-15,0,0
,1995-01-11 00:00,1.04E-15,0,0
,1995-01-12 00:00,2.91E-16,0,0
,1995-01-13 00:00,9.71E-17,0,0
,1995-01-14 00:00,0,0,0
,1995-01-15 00:00,0,0,0
,1995-01-16 00:00,0,0,0
,1995-01-17 00:00,0,0,0
,1995-01-18 00:00,0,0,0
,1995-01-19 00:00,0,0,0
,1995-01-20 00:00,0,0,0
,1995-01-21 00:00,0,0,0
,1995-01-22 00:00,0,0,0
,1995-01-23 00:00,0,0,0
,1995-01-24 00:00,0,0,0
,1995-01-25 00:00,0,0,0
,1995-01-26 00:00,0,0,0
,1995-01-27 00:00,0,0,0
,1995-01-28 00:00,0,0,0
,1995-01-29 00:00,0,0,0
,1995-01-30 00:00,0,0,0
,1995-01-31 00:00,0,0,0
,1995-02-01 00:00,0,0,0
,1995-02-02 00:00,0,0,0
,1995-02-03 00:00,0,0,0
